timestamp_utc,timestamp_ist,location,current_speed,free_flow_speed,congestion_index,confidence
2026-03-02 17:59:32.190841+00:00,2026-03-02 23:29:32.190841+00:00,Central Junction,48,48,0.0,1.0
2026-03-02 17:59:33.221673+00:00,2026-03-02 23:29:33.221673+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-02 17:59:33.527955+00:00,2026-03-02 23:29:33.527955+00:00,Market Area,47,47,0.0,1.0
2026-03-02 18:14:33.776202+00:00,2026-03-02 23:44:33.776202+00:00,Central Junction,48,48,0.0,1.0
2026-03-02 18:14:34.423858+00:00,2026-03-02 23:44:34.423858+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-02 18:14:34.711460+00:00,2026-03-02 23:44:34.711460+00:00,Market Area,47,47,0.0,1.0
2026-03-03 01:35:28.963604+00:00,2026-03-03 07:05:28.963604+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 01:35:29.899487+00:00,2026-03-03 07:05:29.899487+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 01:35:30.213689+00:00,2026-03-03 07:05:30.213689+00:00,Market Area,47,47,0.0,1.0
2026-03-03 01:35:32.315085+00:00,2026-03-03 07:05:32.315085+00:00,Central Junction,0,0,0.0,0.0
2026-03-03 01:35:33.149616+00:00,2026-03-03 07:05:33.149616+00:00,MC Road Segment,0,0,0.0,0.0
2026-03-03 01:35:33.398089+00:00,2026-03-03 07:05:33.398089+00:00,Market Area,0,0,0.0,0.0
2026-03-03 01:35:42.123305+00:00,2026-03-03 07:05:42.123305+00:00,Central Junction,48,48,0.0,1.0
2026-03-03 01:35:42.966143+00:00,2026-03-03 07:05:42.966143+00:00,MC Road Segment,48,48,0.0,1.0
2026-03-03 01:35:43.207364+00:00,2026-03-03 07:05:43.207364+00:00,Market Area,47,47,0.0,1.0
2026-03-03 01:35:49.164622+00:00,2026-03-03 07:05:49.164622+00:00,Central Junction,0,0,0.0,0.0
2026-03-03 01:35:49.989425+00:00,2026-03-03 07:05:49.989425+00:00,MC Road Segment,0,0,0.0,0.0
